pid,tid,src_dev,dst_dev,src_numa,dst_numa,size_mb,latency_us,bw_gbps,start_ns,end_ns,wall_start_ns,wall_end_ns,direction,async_flag,api_type,stream_id,path_id,link_bitmap,quality_flags
2771200,2771200,4294967295,0,0,255,25.17,4026.46,6.25,1000000000000,1000004026462,1777456000000000000,1777456000004026462,1,0,0,0,0,0,128
2771200,2771200,4294967295,0,0,255,32.51,3948.67,8.23,1000005089462,1000009038129,1777456000005089462,1777456000009038129,1,0,0,0,0,0,128
2771200,2771200,4294967295,0,0,255,268.44,39077.05,6.87,1000009747129,1000048824182,1777456000009747129,1777456000048824182,1,0,0,0,0,0,128
2771200,2771200,4294967295,0,0,255,25.17,3995.86,6.30,1000050188182,1000054184043,1777456000050188182,1777456000054184043,1,0,0,0,0,0,128
2771200,2771200,4294967295,0,0,255,32.51,2940.76,11.05,1000055131043,1000058071803,1777456000055131043,1777456000058071803,1,0,0,0,0,0,128
2771200,2771200,4294967295,0,0,255,268.44,26329.60,10.20,1000072820803,1000099150399,1777456000072820803,1777456000099150399,1,0,0,0,0,0,128
2771200,2771200,4294967295,0,0,255,268.44,30566.87,8.78,1000100569399,1000131136273,1777456000100569399,1777456000131136273,1,0,0,0,0,0,128
2771200,2771200,4294967295,0,0,255,32.51,2504.03,12.98,1000131649273,1000134153307,1777456000131649273,1777456000134153307,1,0,0,0,0,0,128
2771200,2771200,4294967295,0,0,255,32.51,2087.44,15.57,1000144901307,1000146988744,1777456000144901307,1777456000146988744,1,0,0,0,0,0,128
2771200,2771200,4294967295,0,0,255,25.17,3632.76,6.93,1000148177744,1000151810508,1777456000148177744,1777456000151810508,1,0,0,0,0,0,128
2771200,2771200,4294967295,0,0,255,67.11,4636.21,14.47,1000152508508,1000157144716,1777456000152508508,1777456000157144716,1,0,0,0,0,0,128
2771200,2771200,4294967295,0,0,255,134.22,11812.57,11.36,1000168213716,1000180026285,1777456000168213716,1777456000180026285,1,0,0,0,0,0,128
2771200,2771200,4294967295,0,0,255,25.17,2184.46,11.52,1000181301285,1000183485741,1777456000181301285,1777456000183485741,1,0,0,0,0,0,128
